Mask,Lockdown,P_Vax
none,True,0.0
Infection rate:,4.0,%
Hospitalization rate:,0.0,%
Death rate:,0.0,%
Vaccinated ratio:,0.0,%
-,-,-
Mask,Lockdown,P_Vax
none,True,0.6
Infection rate:,3.0,%
Hospitalization rate:,0.0,%
Death rate:,0.0,%
Vaccinated ratio:,63.0,%
-,-,-
